Gene,Gene_single,mean log2(fold),mean -log10  p value ,significant in n/4 datasets
RPS21,RPS21,"-0,6103089717","2,545311213",4
RPS24,RPS24,"-0,2662085295","1,416219785",3
RPS25,RPS25,"-0,5907979657","1,699877477",3
RPS27;RPS27L,RPS27,"-0,2912833707","1,744676266",4
RPS28,RPS28,"-0,4459940857","2,781295026",4
RPS29,RPS29,"-0,5961864342","2,483624759",3
RPS3,RPS3,"-0,3435812924","1,741378444",3
RPS3A,RPS3A,"-0,3652574685","1,945318226",3
RPS6,RPS6,"-0,3235340085","1,714806785",3
RPS7,RPS7,"-0,7360192885","2,205056975",4
SAP18,SAP18,"-0,2992979735","1,999057976",3
SHMT2,SHMT2,"-0,3569066326","2,631821692",4
SLC25A11,SLC25A11,"-0,7189668516","3,21669988",3
SLC25A5,SLC25A5,"-0,6029396405","2,026432116",3
SMN1;SMN2,SMN1,"0,5201219196","2,144404808",3
SNRPD2,SNRPD2,"-0,4364994135","1,732944955",3
SPC24,SPC24,"-0,3887646012","2,301157189",3
SRM,SRM,"-0,383009548","2,651536766",3
SSBP1,SSBP1,"-0,7216311975","1,935155459",3
STMN1,STMN1,"-0,4931581542","1,667013521",3
STRAP,STRAP,"-0,3978188121","1,858563043",4
SUCLG1,SUCLG1,"-0,6710416476","2,649500219",3
SUMO2,SUMO2,"-0,4062724354","1,684656518",3
TAF15,TAF15,"-0,4458938067","2,527324689",3
TARS2,TARS2,"-0,3471999069","1,947456091",3
TBCA,TBCA,"-0,5416948348","2,662408882",3
TECR,TECR,"-0,334084224","1,852370904",3
TFAM,TFAM,"-0,4594836285","2,295546347",3
TFB1M,TFB1M,"-0,6485372558","2,046229789",3
TGOLN2,TGOLN2,"-0,5536749984","1,552477951",3
TIMM23;TIMM23B,TIMM23,"-0,6227975504","1,985746975",3
TIMM44,TIMM44,"-0,6831833012","2,408834401",3
TLE4,TLE4,"0,4187590828","1,730778191",3
TMA7,TMA7,"-0,5800901254","1,676850347",3
TMEM59,TMEM59,"0,4106157695","1,759706018",3
TOR1A,TOR1A,"0,263579155","1,668878259",3
TRUB1,TRUB1,"0,397054337","1,667541935",3
TUBB,TUBB,"0,3052542243","1,609702991",3
UBE2G2,UBE2G2,"0,2991203008","1,968845854",3
UQCRB,UQCRB,"-1,575122873","1,715742954",3
UROD,UROD,"0,3653626467","1,596567654",3
USMG5,USMG5,"-0,9981046282","2,740253688",3
VDAC3,VDAC3,"-0,4086287696","1,611143263",3
VPS29,VPS29,"0,4029952606","1,304033077",3
VPS33A,VPS33A,"0,5681316853","2,634782899",3
VPS35,VPS35,"-0,3056683093","2,173157255",3
YBX3,YBX3,"-0,3718655739","1,548282683",3
ZCCHC6,ZCCHC6,"0,4718238885","1,594881438",3
RPL10;RPL10L,RPL10,"-0,4600196965","2,588479118",3
